keyword,normalized,reason,score,source
トークン,トークン,一般語として頻出（AI/認証/ブロックチェーン文脈）で誤爆しやすい,90,seed
プロンプト,プロンプト,一般語として頻出（生成AI文脈）で誤爆しやすい,90,seed
精度,精度,一般語として頻出（統計/ML文脈）で誤爆しやすい,80,seed
推論,推論,一般語として頻出（AI文脈）で誤爆しやすい,80,seed
メタ,メタ,一般語として幅広く使われ誤爆しやすい,70,seed
自動化,自動化,一般語として頻出（業務/IT文脈）でリンク過多になりやすい,60,seed
顧客,顧客,一般語として頻出で誤爆しやすい,90,manual
ワークフロー,ワークフロー,一般語として頻出で誤爆しやすい,80,manual
シナリオ,シナリオ,一般語として頻出で誤爆しやすい,70,manual
AI,汎用的すぎる - 過剰なリンクを引き起こす,,,
機械学習,汎用的すぎる - 過剰なリンクを引き起こす,,,
ディープラーニング,汎用的すぎる - 過剰なリンクを引き起こす,,,
ニューラルネットワーク,汎用的すぎる - 過剰なリンクを引き起こす,,,
データ,汎用的すぎる - 過剰なリンクを引き起こす,,,
モデル,汎用的すぎる - 過剰なリンクを引き起こす,,,
アルゴリズム,汎用的すぎる - 過剰なリンクを引き起こす,,,
システム,汎用的すぎる - 過剰なリンクを引き起こす,,,
テクノロジー,汎用的すぎる - 過剰なリンクを引き起こす,,,
ソフトウェア,汎用的すぎる - 過剰なリンクを引き起こす,,,
アプリケーション,汎用的すぎる - 過剰なリンクを引き起こす,,,
サービス,汎用的すぎる - 過剰なリンクを引き起こす,,,
ツール,汎用的すぎる - 過剰なリンクを引き起こす,,,
ソリューション,汎用的すぎる - 過剰なリンクを引き起こす,,,
プロセス,汎用的すぎる - 過剰なリンクを引き起こす,,,
方法,汎用的すぎる - 過剰なリンクを引き起こす,,,
アプローチ,汎用的すぎる - 過剰なリンクを引き起こす,,,
技術,汎用的すぎる - 過剰なリンクを引き起こす,,,
フレームワーク,汎用的すぎる - 過剰なリンクを引き起こす,,,
自然言語処理,404エラー - ページが存在しない,,,
NLP,404エラー - ページが存在しない,,,
Natural Language Processing,404エラー - ページが存在しない,,,
